method,file,original_size,compressed_size,conclusion
ari,test_1,13,28,OK
ari,test_2.tif,13095,8008,OK
ari,test_3,226304,174731,OK
ari,test_4,0,2,OK
ari,test_5,1000000,433677,OK
ari,test_6,1000000,5,OK
ari,test_7,1000000,227642,OK
ppm,test_1,13,15,OK
ppm,test_2.tif,13095,5996,OK
ppm,test_3,226304,141953,OK
ppm,test_4,0,2,OK
ppm,test_5,1000000,47,OK
ppm,test_6,1000000,22,OK
ppm,test_7,1000000,3840,OK
bwt,test_1,13,13,OK
bwt,test_2.tif,13095,13095,OK
bwt,test_3,226304,226304,OK
bwt,test_4,0,0,OK
bwt,test_5,1000000,1000000,OK
bwt,test_6,1000000,1000000,OK
bwt,test_7,1000000,1000000,OK
